name,diameter,area,weight_per_lb,material,cost_mat,cost_handle,cost_total
N/A,in.,in.^2,lb/ft,N/A,$/ft,$/ft,$/ft
MMFX-3,0.375,0.11,0.376,MMFX,0,0,0
MMFX-4,0.5,0.22,0.668,MMFX,0,0,0
MMFX-5,0.625,0.31,1.043,MMFX,0,0,0
MMFX-6,0.75,0.44,1.502,MMFX,0,0,0
MMFX-7,0.875,0.6,2.044,MMFX,0,0,0
CFRP-BAR-2,0.25,0.049,0.035,CFRPB,3.14,0,3.14
CFRP-BAR-3,0.375,0.11,0.075,CFRPB,5.75,0,5.75
CFRP-BAR-4,0.5,0.196,0.125,CFRPB,8.2,0,8.2
N/A,0,0,0,N/A,0,0,0
CFRP-CABLE-7_7.5,0.295,0.0482,0.04,CFRCC,0,0,0
CFRP-CABLE-C-7_10.5,0.413,0.09,0.075,CFRCC,0,0,0
CFRP-CABLE-C-7_12.5,0.492,0.118,0.09744,CFRCC,0,0,0
CFRP-CABLE-C-7_15.2,0.6,0.18,0.149,CFRCC,0,0,0
CFRP-CABLE-C-7_17.2,0.677,0.234,0.194,CFRCC,0,0,0
ST_Strand-9,0.375,0.085,0.29,PST,0,0,0
ST_Strand-11,0.438,0.115,0.39,PST,0,0,0
ST_Strand-13,0.5,0.153,0.52,PST,0,0,0
ST_Strand-15,0.6,0.217,0.74,PST,0,0,0
